street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,OBJECTID,JoinID,Name
PARK PL,PARK PL,NA,30,58,29,57,14,14,1,G00010001,PARK PL
NA,E 28,NA,349,371,NA,NA,501,502,3,G00010003,E 28
NA,DIVISION,NA,74,78,NA,NA,74,194,4,G00010004,DIVISION
NA,DIVISION,NA,70,72,NA,NA,192,194,5,G00010005,DIVISION
NA,BAYARD,NA,1,17,2,18,192,193,6,G00010006,BAYARD
NA,FORSYTH,NA,1,29,2,30,193,194,7,G00010007,FORSYTH
NA,DIVISION,NA,46,68,45,61,192,74,8,G00010008,DIVISION
NA,E. BROADWAY,NA,74,118,75,119,74,77,9,G00010009,E. BROADWAY
NA,CANAL,NA,124,140,125,145,192,200,10,G00010010,CANAL
NA,DIVISION,NA,162,180,153,169,197,87,11,G00010011,DIVISION
NA,DIVISION,NA,182,194,171,179,148,87,12,G00010012,DIVISION
NA,NORFOLK,NA,1,13,2,14,197,148,13,G00010013,NORFOLK
NA,WHITEHALL,NA,1,13,2,14,1,1,14,G00010014,WHITEHALL
NA,BOWLING GREEN,NA,1,8,NA,NA,1,1,15,G00010015,BOWLING GREEN
NA,MARKETFIELD,NA,1,31,2,30,1,1,16,G00010016,MARKETFIELD
BROADWAY,BROADWAY,NA,NA,NA,2,6,1,1,17,G00010017,BROADWAY
NA,PARK ROW,NA,NA,NA,35,41,0,11,18,G00010018,PARK ROW
NA,CHATHAM,NA,40,60,1,49,38,36,19,G00010019,CHATHAM
8 AVE,8 AVE,NA,421,439,418,438,354,409,20,G00010020,8 AVE
W 32,W 32,NA,200,260,201,265,409,408,21,G00010021,W 32
8 AVE,8 AVE,NA,441,459,440,458,402,408,22,G00010022,8 AVE
9 AVE,9 AVE,NA,371,389,372,388,384,354,23,G00010023,9 AVE
W 32,W 32,NA,300,386,301,379,354,402,24,G00010024,W 32
9 AVE,9 AVE,NA,391,409,390,408,385,402,25,G00010025,9 AVE
W 32,W 32,NA,400,462,401,469,384,385,26,G00010026,W 32
NA,CHAMBERS,NA,2,20,1,21,38,38,27,G00010027,CHAMBERS
NA,CITY HALL PL,NA,2,14,1,9,38,38,28,G00010028,CITY HALL PL
NA,TEMPLE,NA,7,11,8,12,8,8,29,G00010029,TEMPLE
