street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,OBJECTID,JoinID,Name
NA,LEXINGTON AVE,NA,NA,NA,NA,NA,NA,NA,24846,G00023787,LEXINGTON AVE
NA,88,NA,NA,NA,NA,NA,NA,NA,24849,G00023788,88
NA,86,NA,NA,NA,NA,NA,NA,NA,24850,G00023789,86
NA,SHORE RD,NA,NA,NA,NA,NA,NA,NA,24852,G00023791,SHORE RD
NA,CROPSEY AVE,NA,NA,NA,NA,NA,NA,NA,24853,G00023792,CROPSEY AVE
NA,CROPSEY AVE,NA,NA,NA,NA,NA,NA,NA,24857,G00023794,CROPSEY AVE
NA,14 AVE,NA,NA,NA,NA,NA,NA,NA,24858,G00023795,14 AVE
NA,CROPSEY AVE,NA,NA,NA,NA,NA,NA,NA,24859,G00023796,CROPSEY AVE
NA,WATERS AVE,NA,NA,NA,NA,NA,NA,NA,24862,G00023797,WATERS AVE
NA,86,NA,NA,NA,NA,NA,NA,NA,24863,G00023798,86
NA,WATERS AVE,NA,NA,NA,NA,NA,NA,NA,24864,G00023799,WATERS AVE
NA,NEW UTRECHT,NA,NA,NA,NA,NA,NA,NA,24865,G00023800,NEW UTRECHT
NA,86,NA,NA,NA,NA,NA,NA,NA,24866,G00023801,86
NA,NEW UTRECHT,NA,NA,NA,NA,NA,NA,NA,24867,G00023802,NEW UTRECHT
NA,15 AVE,NA,NA,NA,NA,NA,NA,NA,24868,G00023803,15 AVE
NA,15 AVE,NA,NA,NA,NA,NA,NA,NA,24869,G00023804,15 AVE
NA,LOCUST,NA,NA,NA,NA,NA,NA,NA,24870,G00023805,LOCUST
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24871,G00023806,COWENHOVEN LN
NA,LOCUST,NA,NA,NA,NA,NA,NA,NA,24875,G00023807,LOCUST
NA,60,NA,NA,NA,NA,NA,NA,NA,24877,G00023808,60
NA,LOCUST AVE,NA,NA,NA,NA,NA,NA,NA,24880,G00023809,LOCUST AVE
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24882,G00023810,COWENHOVEN LN
NA,62,NA,NA,NA,NA,NA,NA,NA,24883,G00023811,62
NA,62,NA,NA,NA,NA,NA,NA,NA,24884,G00023812,62
NA,61,NA,NA,NA,NA,NA,NA,NA,24885,G00023813,61
NA,CHESTNUT AVE,NA,NA,NA,NA,NA,NA,NA,24886,G00023814,CHESTNUT AVE
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24887,G00023815,COWENHOVEN LN
NA,60,NA,NA,NA,NA,NA,NA,NA,24888,G00023816,60
NA,60,NA,NA,NA,NA,NA,NA,NA,24889,G00023817,60
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24890,G00023818,COWENHOVEN LN
NA,59,NA,NA,NA,NA,NA,NA,NA,24891,G00023819,59
NA,59,NA,NA,NA,NA,NA,NA,NA,24892,G00023820,59
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24893,G00023821,COWENHOVEN LN
NA,65,NA,NA,NA,NA,NA,NA,NA,24894,G00023822,65
NA,CHESTNUT AVE,NA,NA,NA,NA,NA,NA,NA,24895,G00023823,CHESTNUT AVE
NA,61,NA,NA,NA,NA,NA,NA,NA,24896,G00023824,61
NA,62,NA,NA,NA,NA,NA,NA,NA,24897,G00023825,62
NA,11 AVE,NA,NA,NA,NA,NA,NA,NA,24898,G00023826,11 AVE
NA,12 AVE,NA,NA,NA,NA,NA,NA,NA,24899,G00023827,12 AVE
NA,64,NA,NA,NA,NA,NA,NA,NA,24900,G00023828,64
NA,NA,NA,NA,NA,NA,NA,NA,NA,24903,G00023829,NA
NA,8 AVE,NA,NA,NA,NA,NA,NA,NA,24904,G00023830,8 AVE
NA,57,NA,NA,NA,NA,NA,NA,NA,24905,G00023831,57
NA,56,NA,NA,NA,NA,NA,NA,NA,24906,G00023832,56
NA,55,NA,NA,NA,NA,NA,NA,NA,24907,G00023833,55
NA,LIBERTY,NA,NA,NA,NA,NA,NA,NA,24910,G00023834,LIBERTY
NA,FORT HAMILTON AVE,NA,NA,NA,NA,NA,NA,NA,24911,G00023835,FORT HAMILTON AVE
NA,FORT HAMILTON AVE,NA,NA,NA,NA,NA,NA,NA,24912,G00023836,FORT HAMILTON AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24913,G00023837,NEW UTRECHT AVE
NA,ELM AVE,NA,NA,NA,NA,NA,NA,NA,24914,G00023838,ELM AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24915,G00023839,NEW UTRECHT AVE
NA,ELM AVE,NA,NA,NA,NA,NA,NA,NA,24916,G00023840,ELM AVE
NA,CEDAR,NA,NA,NA,NA,NA,NA,NA,24917,G00023841,CEDAR
NA,CEDAR,NA,NA,NA,NA,NA,NA,NA,24918,G00023842,CEDAR
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24919,G00023843,NEW UTRECHT AVE
43,43,NA,NA,NA,NA,NA,NA,NA,24920,G00023844,43
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24921,G00023845,NEW UTRECHT AVE
42,42,NA,NA,NA,NA,NA,NA,NA,24922,G00023846,42
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24923,G00023847,NEW UTRECHT AVE
NA,41,NA,NA,NA,NA,NA,NA,NA,24924,G00023848,41
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24925,G00023849,NEW UTRECHT AVE
40,40,NA,NA,NA,NA,NA,NA,NA,24926,G00023850,40
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24927,G00023851,NEW UTRECHT AVE
39,39,NA,NA,NA,NA,NA,NA,NA,24928,G00023852,39
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24929,G00023853,NEW UTRECHT AVE
NA,BAY AVE,NA,NA,NA,NA,NA,NA,NA,24930,G00023854,BAY AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24933,G00023855,NEW UTRECHT AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24934,G00023856,NEW UTRECHT AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24935,G00023857,NEW UTRECHT AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24936,G00023858,NEW UTRECHT AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24937,G00023859,NEW UTRECHT AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24938,G00023860,NEW UTRECHT AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24939,G00023861,NEW UTRECHT AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24940,G00023862,NEW UTRECHT AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24941,G00023863,NEW UTRECHT AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24942,G00023864,NEW UTRECHT AVE
NA,NA,NA,NA,NA,NA,NA,NA,NA,24943,G00023865,NA
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24944,G00023866,NEW UTRECHT AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24945,G00023867,NEW UTRECHT AVE
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24946,G00023868,NEW UTRECHT AVE
NA,45,NA,NA,NA,NA,NA,NA,NA,24947,G00023869,45
NA,BAY AVE,NA,NA,NA,NA,NA,NA,NA,24948,G00023870,BAY AVE
NA,BAY AVE,NA,NA,NA,NA,NA,NA,NA,24949,G00023871,BAY AVE
NA,58,NA,NA,NA,NA,NA,NA,NA,24950,G00023872,58
NA,BAY AVE,NA,NA,NA,NA,NA,NA,NA,24951,G00023873,BAY AVE
NA,13 AVE,NA,NA,NA,NA,NA,NA,NA,24956,G00023874,13 AVE
NA,BAY AVE,NA,NA,NA,NA,NA,NA,NA,24957,G00023875,BAY AVE
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24961,G00023876,COWENHOVEN LN
NA,54,NA,NA,NA,NA,NA,NA,NA,24962,G00023877,54
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24963,G00023878,COWENHOVEN LN
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24964,G00023879,COWENHOVEN LN
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24966,G00023881,NEW UTRECHT AVE
58,58,NA,NA,NA,NA,NA,NA,NA,24967,G00023882,58
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24968,G00023883,NEW UTRECHT AVE
57,57,NA,NA,NA,NA,NA,NA,NA,24969,G00023884,57
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24970,G00023885,NEW UTRECHT AVE
56,56,NA,NA,NA,NA,NA,NA,NA,24971,G00023886,56
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24972,G00023887,NEW UTRECHT AVE
55,55,NA,NA,NA,NA,NA,NA,NA,24973,G00023888,55
NA,NEW UTRECHT AVE,NA,NA,NA,NA,NA,NA,NA,24974,G00023889,NEW UTRECHT AVE
NA,55,NA,NA,NA,NA,NA,NA,NA,24975,G00023890,55
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24976,G00023891,COWENHOVEN LN
NA,12 AVE,NA,NA,NA,NA,NA,NA,NA,24977,G00023892,12 AVE
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24978,G00023893,COWENHOVEN LN
NA,COWENHOVEN LN,NA,NA,NA,NA,NA,NA,NA,24979,G00023894,COWENHOVEN LN
NA,56,NA,NA,NA,NA,NA,NA,NA,24980,G00023895,56
