ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37,Street38,Street39,Street40,Street41,Street42,Street43,Street44,Street45,Street46,Street47,Street48,Street49
19,BATAVIA,CHAMBERS,CHENUT ST,CHERRY,DUANE,JAMES,MADISON,NEW BOWERY,NEW CHAMBERS,NULL,OAK,PARK ROW,PEARL,ROOSEVELT,ROSE,SAINT JAMES PL,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,MADISON,NEW CHAMBERS,PARK ROW,PEARL,ROOSEVELT,ROSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,JAMES,MADISON,NEW BOWERY,PARK ROW,ROOSEVELT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,CHATHAM SQ,JAMES,MADISON,NEW BOWERY,OLIVER,PARK ROW,ROSE,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,CATHERINE,HENRY,MADISON,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,JAMES,MADISON,OAK,OLIVER,ROSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,CHAMBERS,JAMES,MADISON,NEW BOWERY,NULL,OAK,ROOSEVELT,ROSE,SAINT JAMES PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,CATHERINE,CHERRY,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,CHERRY,JAMES,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,CATHERINE,HENRY,MADISON,MARKET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,CATHERINE,CATHERINE SLIP,CHERRY,EA RIVER,JAMES,JAMES SLIP,NEW CHAMBERS,OLIVER,PIER,PIER 22,PIER 25,SOUTH,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,BROADWAY,BROADWAY W,CANAL,CHURCH,DUANE,FRANKLIN,FRANKLIN PL,LEONARD,LISPENARD,MAIN,READE,THOMAS,TRIMBLE PL,W  BROADWAY,WALKER,WHITE,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,BEACH,BROADWAY,BROADWAY W,ERICSSON PL,FRANKLIN,GREENWICH,HUDSON,MOORE N,NO MOORE,VARICK,W  BROADWAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,BEACH,CAROLINE,DUANE,FRANKLIN,GREENWICH,HARRISON,JAY,MOORE N,NO MOORE,NORTH RIVER,NULL,READE,WASHINGTON,WE ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
