ED,Name,JoinId,Full_Name,Name1910,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source
461,PARK AVE,G00011303,PARK AVE,NULL,NULL,133,149,126,144,5574,Morse geo
462,PARK AVE,G00015598,PARK AVE,NULL,NULL,151,171,146,164,7714,Morse geo
463,PARK AVE,G00001777,PARK AVE,NULL,NULL,173,193,166,184,907,Morse geo
464,VANDERBILT AVE,G00019458,VANDERBILT AVE,NULL,NULL,1,59,2,56,9603,Morse geo
464,VANDERBILT AVE,G00021701,VANDERBILT AVE,NULL,NULL,61,161,58,150,10710,Morse geo
465,VANDERBILT AVE,G00019458,VANDERBILT AVE,NULL,NULL,1,59,2,56,9603,Morse geo
465,VANDERBILT AVE,G00021701,VANDERBILT AVE,NULL,NULL,61,161,58,150,10710,Morse geo
466,KINGS COUNTY JAIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
467,MYRTLE AVE,G00009670,MYRTLE AVE,NULL,NULL,379,401,382,400,4739,Morse geo
467,MYRTLE AVE,G00017911,MYRTLE AVE,NULL,NULL,339,355,340,360,8849,Morse geo
