ED,Name,JoinId,Full_Name,Name1910,AltName,Left_Low,Left_High,Right_Low,Right_High,ObjectID,source
696,MACON,G00017175,MACON,NULL,NULL,711,777,694,760,8493,Morse geo
697,MCDONOUGH,G00016664,MACDONOUGH,MCDONOUGH,NULL,653,719,656,722,8251,Morse geo
698,JEFFERSON AVE,G00017330,JEFFERSON AVE,NULL,NULL,1019,1021,1018,1022,8566,Morse geo
699,HOPKINSON AVE,G00019608,THOMAS BOYLAND,HOPKINSON AVE,NULL,49,69,48,68,9674,Morse geo
699,HOPKINSON AVE,G00031221,THOMAS BOYLAND,HOPKINSON AVE,NULL,71,89,70,88,15282,Morse geo
700,RALPH AVE,G00020800,RALPH AVE,NULL,NULL,205,223,204,222,10257,Morse geo
700,RALPH AVE,G00027040,RALPH AVE,NULL,NULL,225,243,224,242,13270,Morse geo
701,PATCHEN AVE,G00026636,PATCHEN AVE,NULL,NULL,241,259,236,244,13083,Morse geo
701,PATCHEN AVE,G00002954,PATCHEN AVE,NULL,NULL,261,265,246,264,1483,Morse geo
702,RALPH AVE,G00026716,RALPH AVE,NULL,NULL,245,263,244,262,13118,Morse geo
703,REID AVE,G00024216,MALCOLM X BLVD,REID AVE,NULL,349,359,380,392,17481,Morse geo
704,HUNTERFLY PL,G00012993,HUNTERFLY PL,NULL,NULL,1,25,2,20,17635,Morse geo
704,HUNTERFLY PL,G00012993,HUNTERFLY PL,NULL,NULL,NA,NA,NA,NA,17633,Morse geo
705,HERKIMER,G00000503,HERKIMER,NULL,NULL,869,891,870,892,250,Morse geo
705,HERKIMER,G00020817,HERKIMER,NULL,NULL,893,927,906,926,10263,Morse geo
705,HERKIMER,G00021533,HERKIMER,NULL,NULL,933,951,836,858,10632,Morse geo
705,HERKIMER,G00000805,HERKIMER,NULL,NULL,787,809,790,806,413,Morse geo
705,HERKIMER,G00010660,HERKIMER,NULL,NULL,811,861,816,868,5251,Morse geo
706,RALPH AVE,G00026716,RALPH AVE,NULL,NULL,245,263,244,262,13118,Morse geo
706,RALPH AVE,G00027040,RALPH AVE,NULL,NULL,225,243,224,242,13270,Morse geo
707,SUMPTER,G00001262,SUMPTER,NULL,NULL,163,217,142,200,645,Morse geo
707,SUMPTER,G00024303,SUMPTER,NULL,NULL,103,161,84,140,11934,Morse geo
708,MCDOUGAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
709,HERKIMER,G00011937,HERKIMER,NULL,NULL,961,979,964,982,5862,Morse geo
709,HERKIMER,G00022562,HERKIMER,NULL,NULL,1013,1029,1016,1032,11112,Morse geo
709,HERKIMER,G00028134,HERKIMER,NULL,NULL,981,1001,992,1008,13778,Morse geo
710,HOWARD AVE,G00001037,HOWARD AVE,NULL,NULL,283,315,290,318,529,Morse geo
710,HOWARD AVE,G00026086,HOWARD AVE,NULL,NULL,263,281,266,288,12821,Morse geo
711,MARCONI PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
712,HOPKINSON AVE,G00018774,THOMAS BOYLAND,HOPKINSON AVE,NULL,181,199,178,196,9278,Morse geo
713,SARATOGA AVE,G00000723,SARATOGA AVE,NULL,NULL,215,219,212,214,377,Morse geo
714,MCDOUGAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
715,ROCKAWAY AVE,G00020343,ROCKAWAY AVE,NULL,NULL,63,79,80,94,10041,Morse geo
715,ROCKAWAY AVE,G00024011,ROCKAWAY AVE,NULL,NULL,81,99,96,112,11793,Morse geo
716,SARATOGA AVE,G00020181,SARATOGA AVE,NULL,NULL,143,161,142,156,9968,Morse geo
717,MARION,G00017835,MARION,NULL,NULL,439,501,444,512,8815,Morse geo
718,ROCKAWAY AVE,G00013667,ROCKAWAY AVE,NULL,NULL,NA,NA,NA,NA,6754,Morse geo
718,ROCKAWAY AVE,G00023139,ROCKAWAY AVE,NULL,NULL,101,117,116,134,11383,Morse geo
718,ROCKAWAY AVE,G00024011,ROCKAWAY AVE,NULL,NULL,81,99,96,112,11793,Morse geo
719,MACDOUGAL,G00030588,MACDOUGAL,NULL,NULL,315,353,294,336,14981,Morse geo
720,MONACO PL,G00012145,MONACO PL,NULL,NULL,1,33,2,34,5969,Morse geo
721,NORMAN PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
722,JARDINE PL,G00017830,JARDINE PL,NULL,NULL,1,33,2,34,19056,Morse geo
723,JARDINE PL,G00017830,JARDINE PL,NULL,NULL,1,33,2,34,19056,Morse geo
724,TRUXTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
725,NEW YORK AVE E,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
726,HOWARD AVE,G00023869,HOWARD AVE,NULL,NULL,NA,NA,568,666,11724,Morse geo
726,HOWARD AVE,G00024948,HOWARD AVE,NULL,NULL,667,725,668,726,12252,Morse geo
726,HOWARD AVE,G00028890,HOWARD AVE,NULL,NULL,571,665,NA,NA,14143,Morse geo
726,HOWARD AVE,G00014691,HOWARD AVE,NULL,NULL,NA,NA,NA,NA,18588,Morse geo
727,HOPKINSON AVE,G00018454,THOMAS BOYLAND,HOPKINSON AVE,NULL,421,467,420,470,9126,Morse geo
728,PITKIN AVE,G00005233,PITKIN AVE,NULL,NULL,1525,1547,1528,1548,2616,Morse geo
728,PITKIN AVE,G00025814,PITKIN AVE,NULL,NULL,1549,1567,1550,1568,12679,Morse geo
729,HOPKINSON AVE,G00011433,THOMAS BOYLAND,HOPKINSON AVE,NULL,575,631,576,632,5636,Morse geo
729,HOPKINSON AVE,G00012207,THOMAS BOYLAND,HOPKINSON AVE,NULL,469,573,480,574,5996,Morse geo
730,PITKIN AVE,G00005165,PITKIN AVE,NULL,NULL,1621,1639,1622,1640,2590,Morse geo
730,PITKIN AVE,G00014373,PITKIN AVE,NULL,NULL,1649,1665,1646,1666,7119,Morse geo
731,PITKIN AVE,G00025043,PITKIN AVE,NULL,NULL,1669,1691,1670,1690,12302,Morse geo
731,PITKIN AVE,G00000914,PITKIN AVE,NULL,NULL,1697,1711,1698,1716,18498,Morse geo
732,WATKINS,G00026275,WATKINS,NULL,NULL,29,69,36,68,18522,Morse geo
734,WATKINS,G00026275,WATKINS,NULL,NULL,107,111,70,112,18513,Morse geo
735,WATKINS,G00026275,WATKINS,NULL,NULL,107,111,70,112,18513,Morse geo
736,WATKINS,G00026275,WATKINS,NULL,NULL,131,151,130,152,18503,Morse geo
737,WATKINS,G00026275,WATKINS,NULL,NULL,131,151,130,152,18503,Morse geo
738,WATKINS,G00026275,WATKINS,NULL,NULL,169,201,180,198,18494,Morse geo
739,WATKINS,G00026275,WATKINS,NULL,NULL,169,201,180,198,18494,Morse geo
740,SACKMAN,G00007415,SACKMAN,NULL,NULL,219,245,218,240,18553,Morse geo
741,SACKMAN,G00007415,SACKMAN,NULL,NULL,253,289,262,288,18550,Morse geo
742,SACKMAN,G00007415,SACKMAN,NULL,NULL,317,349,300,344,18545,Morse geo
743,SUTTER AVE,G00002300,SUTTER AVE,NULL,NULL,NA,NA,NA,NA,18575,Morse geo
743,SUTTER AVE,G00002300,SUTTER AVE,NULL,NULL,373,401,376,400,18577,Morse geo
743,SUTTER AVE,G00002300,SUTTER AVE,NULL,NULL,NA,NA,NA,NA,18579,Morse geo
743,SUTTER AVE,G00026491,SUTTER AVE,NULL,NULL,403,421,402,420,18580,Morse geo
744,PITKIN AVE,G00001829,PITKIN AVE,NULL,NULL,1861,1879,1860,1880,932,Morse geo
744,PITKIN AVE,G00028316,PITKIN AVE,NULL,NULL,NA,NA,NA,NA,13856,Morse geo
745,SACKMAN,G00008618,SACKMAN,NULL,NULL,169,191,180,192,4236,Morse geo
746,SACKMAN,G00008618,SACKMAN,NULL,NULL,169,191,180,192,4236,Morse geo
747,SNEDIKER AVE,G00029680,SNEDIKER AVE,NULL,NULL,NA,NA,NA,NA,14536,Morse geo
748,SNEDIKER AVE,G00006591,SNEDIKER AVE,NULL,NULL,139,161,146,156,3287,Morse geo
748,SNEDIKER AVE,G00022028,SNEDIKER AVE,NULL,NULL,91,119,96,116,10870,Morse geo
749,PITKIN AVE,G00015828,PITKIN AVE,NULL,NULL,2015,2029,2016,2028,7830,Morse geo
749,PITKIN AVE,G00032472,PITKIN AVE,NULL,NULL,NA,NA,NA,NA,15890,Morse geo
750,PITKIN AVE,G00002980,PITKIN AVE,NULL,NULL,1957,1969,NA,NA,1497,Morse geo
750,PITKIN AVE,G00005354,PITKIN AVE,NULL,NULL,1923,1955,1924,1954,2677,Morse geo
750,PITKIN AVE,G00015828,PITKIN AVE,NULL,NULL,2015,2029,2016,2028,7830,Morse geo
750,PITKIN AVE,G00026567,PITKIN AVE,NULL,NULL,NA,NA,NA,NA,13046,Morse geo
750,PITKIN AVE,G00032472,PITKIN AVE,NULL,NULL,NA,NA,NA,NA,15890,Morse geo
751,LIBERTY AVE,G00010172,LIBERTY AVE,NULL,NULL,283,299,284,298,5001,Morse geo
751,LIBERTY AVE,G00012072,LIBERTY AVE,NULL,NULL,301,317,300,316,5933,Morse geo
752,JAMAICA AVE,G00020693,JAMAICA AVE,NULL,NULL,NA,NA,NA,NA,10211,Morse geo
752,JAMAICA AVE,G00002464,JAMAICA AVE,NULL,NULL,NA,NA,NA,NA,18554,Morse geo
752,JAMAICA AVE,G00000067,JAMAICA AVE,NULL,NULL,NA,NA,NA,NA,18888,Morse geo
752,JAMAICA AVE,G00000067,JAMAICA AVE,NULL,NULL,NA,NA,NA,NA,18889,Morse geo
753,PENNSYLVANIA AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
754,PENNSYLVANIA AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
755,PENNSYLVANIA AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
756,PENNSYLVANIA AVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morse
757,VERMONT,G00000575,VERMONT,NULL,NULL,309,353,310,358,288,Morse geo
758,WYONA,G00003161,WYONA,NULL,NULL,223,269,224,270,1583,Morse geo
758,WYONA,G00006587,WYONA,NULL,NULL,173,221,174,222,3284,Morse geo
759,VERMONT,G00015735,VERMONT,NULL,NULL,NA,NA,NA,NA,7785,Morse geo
759,VERMONT,G00025500,VERMONT,NULL,NULL,169,211,170,212,12536,Morse geo
