OBJECTID,GlobalID,JoinID,State,City,Boro,FULL_STREE,y1910Valid,y1910_gcheck,y1910DirStreet,y1910NameStreet,y1910Left_Low,y1910Left_High,y1910Right_Low,y1910Right_High,y1910Issue,y1910ParityLeft,y1910ParityRight,y1910Unopened,y1910NameALT,y1910_hnyc_street,JoinID_1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate_1,Creator_1,EditDate_1,Editor_1,Issue_General,y1910ED_Left,y1910ED_Right
281,{00000000-0000-0000-0000-000000000000},G00000015,NY,NEW YORK,MANHATTAN,WALL,1,1,NA,NA,8,20,9,21,NA,NA,NA,NA,NA,WALL,G00000015,214.560131224331,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,214.560121787356,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:25,HNYC_COLUMBIA,NA,7,7
282,{00000000-0000-0000-0000-000000000000},G00000016,NY,NEW YORK,MANHATTAN,FRAWLEY CIR,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,FRAWLEY CIR,G00000016,173.579734491975,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/11/2019 21:31:15,RSE2121_COLUMBIA,174.584477257953,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:25,HNYC_COLUMBIA,NA,457,457
283,{00000000-0000-0000-0000-000000000000},G00000017,NY,NEW YORK,MANHATTAN,NORFOLK,1,1,NA,NA,69,91,68,88,NA,NA,NA,NA,NA,NORFOLK,G00000017,317.905005650315,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/12/2019 0:57:25,AMV2173_COLUMBIA,317.904991660278,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:25,HNYC_COLUMBIA,NA,219,753
284,{00000000-0000-0000-0000-000000000000},G00000018,NY,NEW YORK,MANHATTAN,E HOUSTON,1,1,NA,NA,488,508,489,509,NA,NA,NA,NA,NA,E HOUSTON,G00000018,257.595130378906,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,257.595119039407,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:25,HNYC_COLUMBIA,NA,230,225
285,{00000000-0000-0000-0000-000000000000},G00000019,NY,NEW YORK,MANHATTAN,LEX AVE,1,1,NA,LEXINGTON AVE,436,454,437,457,NA,NA,NA,NA,NA,LEXINGTON AVE,G00000019,260.468107095545,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,260.468095618132,7/22/2019 17:22:53,HNYC_COLUMBIA,3/15/2020 14:51:27,EMC2199_COLUMBIA,NA,498,498
286,{00000000-0000-0000-0000-000000000000},G00000020,NY,NEW YORK,MANHATTAN,W 84,1,1,NA,NA,300,358,301,359,NA,NA,NA,NA,NA,W 84,G00000020,710.288723483249,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/22/2019 18:34:52,AMV2173_COLUMBIA,710.288692217834,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:25,HNYC_COLUMBIA,NA,1395,1394
287,{00000000-0000-0000-0000-000000000000},G00000021,NY,NEW YORK,MANHATTAN,BLEECKER,1,1,NA,NA,404,414,403,417,NA,NA,NA,NA,NA,BLEECKER,G00000021,242.350721069531,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,242.350710407026,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:26,HNYC_COLUMBIA,NA,166,166
288,{00000000-0000-0000-0000-000000000000},G00000022,NY,NEW YORK,MANHATTAN,LEROY,1,1,NA,NA,36,64,39,57,NA,NA,NA,NA,NA,LEROY,G00000022,347.938226064753,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,347.938210753191,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:26,HNYC_COLUMBIA,NA,132,131
289,{00000000-0000-0000-0000-000000000000},G00000023,NY,NEW YORK,MANHATTAN,W 188,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,W 188,G00000023,390.20306169093,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/19/2019 20:53:47,RSE2121_COLUMBIA,390.203044518191,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:26,HNYC_COLUMBIA,NA,676,676
290,{00000000-0000-0000-0000-000000000000},G00000024,NY,NEW YORK,MANHATTAN,W 163,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,W 163,G00000024,472.404461846653,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/17/2019 0:15:15,AMV2173_COLUMBIA,472.40444105827,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:26,HNYC_COLUMBIA,NA,686,686
291,{00000000-0000-0000-0000-000000000000},G00000025,NY,NEW YORK,MANHATTAN,COLUMBUS AVE,1,1,NA,NA,996,1014,997,1015,NA,NA,NA,NA,NA,COLUMBUS AVE,G00000025,252.056471834721,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/22/2019 19:28:00,AMV2173_COLUMBIA,252.056460739318,7/22/2019 17:22:53,HNYC_COLUMBIA,3/19/2020 17:57:15,MSL2215_COLUMBIA,NA,620,619
292,{00000000-0000-0000-0000-000000000000},G00000026,NY,NEW YORK,MANHATTAN,LENOX AVE,1,1,NA,NA,NA,NA,20,30,NA,NA,NA,NA,6 AVE,LENOX AVE,G00000026,264.767695980831,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/22/2019 19:43:02,AMV2173_COLUMBIA,264.767684328443,7/22/2019 17:22:53,HNYC_COLUMBIA,3/19/2020 18:23:43,MSL2215_COLUMBIA,NA,578,507
293,{00000000-0000-0000-0000-000000000000},G00000028,NY,NEW YORK,MANHATTAN,3 AVE,1,1,NA,NA,2202,2224,2203,2217,NA,NA,NA,NA,NA,3 AVE,G00000028,262.681520558629,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,262.68150898718,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:27,HNYC_COLUMBIA,NA,419,315
