ED,Name,OBJECTID,GlobalID,JoinID,State,City,Boro,FULL_STREE,y1910Valid,y1910_gcheck,y1910DirStreet,y1910NameStreet,y1910Left_Low,y1910Left_High,y1910Right_Low,y1910Right_High,y1910Issue,y1910ParityLeft,y1910ParityRight,y1910Unopened,y1910NameALT,JoinID_1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate_1,Creator_1,EditDate_1,Editor_1,Issue_General,source
7,BEAVER,2551,{00000000-0000-0000-0000-000000000000},G00002350,NY,NEW YORK,MANHATTAN,BEAVER,1,1,NA,NA,73,95,76,90,NA,NA,NA,NA,NA,G00002350,287.622025458291,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,287.6220127977,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:29:47,HNYC_COLUMBIA,NA,Morse geo
7,BEAVER,5966,{00000000-0000-0000-0000-000000000000},G00005864,NY,NEW YORK,MANHATTAN,BEAVER,1,1,NA,NA,35,57,32,56,NA,NA,NA,NA,NA,G00005864,431.319356253483,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,431.31933726558,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:41:35,HNYC_COLUMBIA,NA,Morse geo
8,BEAVER,1630,{00000000-0000-0000-0000-000000000000},G00001404,NY,NEW YORK,MANHATTAN,BEAVER,1,1,NA,NA,59,71,58,74,NA,NA,NA,NA,NA,G00001404,279.962938045768,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,279.962925716936,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:26:55,HNYC_COLUMBIA,NA,Morse geo
8,BEAVER,2551,{00000000-0000-0000-0000-000000000000},G00002350,NY,NEW YORK,MANHATTAN,BEAVER,1,1,NA,NA,73,95,76,90,NA,NA,NA,NA,NA,G00002350,287.622025458291,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,287.6220127977,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:29:47,HNYC_COLUMBIA,NA,Morse geo
8,BEAVER,5966,{00000000-0000-0000-0000-000000000000},G00005864,NY,NEW YORK,MANHATTAN,BEAVER,1,1,NA,NA,35,57,32,56,NA,NA,NA,NA,NA,G00005864,431.319356253483,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,431.31933726558,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:41:35,HNYC_COLUMBIA,NA,Morse geo
9,BROAD,2795,{00000000-0000-0000-0000-000000000000},G00002603,NY,NEW YORK,MANHATTAN,BROAD,1,1,NA,NA,107,113,110,122,NA,NA,NA,NA,NA,G00002603,195.789265384718,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,195.789256774669,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:30:30,HNYC_COLUMBIA,NA,Morse geo
9,BROAD,6611,{00000000-0000-0000-0000-000000000000},G00006519,NY,NEW YORK,MANHATTAN,NA,1,1,NA,BROAD,113,129,124,142,NA,NA,NA,NA,NA,G00006519,269.268351054495,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,269.26833918275,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:43:35,HNYC_COLUMBIA,NA,Morse geo
10,ANN,968,{00000000-0000-0000-0000-000000000000},G00000725,NY,NEW YORK,MANHATTAN,ANN,1,1,NA,NA,33,69,32,68,NA,NA,NA,NA,NA,G00000725,431.099208468387,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,431.099189473036,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:24:34,HNYC_COLUMBIA,NA,Morse geo
10,ANN,3893,{00000000-0000-0000-0000-000000000000},G00003734,NY,NEW YORK,MANHATTAN,ANN,1,1,NA,NA,71,91,70,92,NA,NA,NA,NA,NA,G00003734,315.87709935596,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,315.877085464938,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:34:03,HNYC_COLUMBIA,NA,Morse geo
10,ANN,6097,{00000000-0000-0000-0000-000000000000},G00005996,NY,NEW YORK,MANHATTAN,ANN,1,1,NA,NA,1,19,2,20,NA,NA,NA,NA,NA,G00005996,318.977256536791,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,318.977242496297,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:42:00,HNYC_COLUMBIA,NA,Morse geo
10,ANN,6418,{00000000-0000-0000-0000-000000000000},G00006324,NY,NEW YORK,MANHATTAN,ANN,1,1,NA,NA,21,31,22,30,NA,NA,NA,NA,NA,G00006324,134.458696645713,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,134.458690731912,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:43:01,HNYC_COLUMBIA,NA,Morse geo
11,BEEKMAN,1034,{00000000-0000-0000-0000-000000000000},G00000792,NY,NEW YORK,MANHATTAN,BEEKMAN,1,1,NA,NA,90,104,91,103,NA,NA,NA,NA,NA,G00000792,245.57075375183,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/12/2019 1:15:39,AMV2173_COLUMBIA,245.570742931971,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:24:46,HNYC_COLUMBIA,NA,Morse geo
11,BEEKMAN,1048,{00000000-0000-0000-0000-000000000000},G00000807,NY,NEW YORK,MANHATTAN,BEEKMAN,1,1,NA,NA,106,120,105,119,NA,NA,NA,NA,NA,G00000807,207.150119073982,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/12/2019 18:37:58,AMV2173_COLUMBIA,207.15010995996,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:24:49,HNYC_COLUMBIA,NA,Morse geo
