ED,Name,OBJECTID,GlobalID,JoinID,State,City,Boro,FULL_STREE,y1910Valid,y1910_gcheck,y1910DirStreet,y1910NameStreet,y1910Left_Low,y1910Left_High,y1910Right_Low,y1910Right_High,y1910Issue,y1910ParityLeft,y1910ParityRight,y1910Unopened,y1910NameALT,JoinID_1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate_1,Creator_1,EditDate_1,Editor_1,Issue_General,source
374,3 AVE,1075,{00000000-0000-0000-0000-000000000000},G00000834,NY,NEW YORK,MANHATTAN,3 AVE,1,1,NA,NA,1530,1548,1531,1547,NA,NA,NA,NA,NA,G00000834,280.939222691512,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,280.939210325524,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:24:54,HNYC_COLUMBIA,NA,Morse geo
375,2 AVE,857,{00000000-0000-0000-0000-000000000000},G00000608,NY,NEW YORK,MANHATTAN,2 AVE,1,1,NA,NA,1637,1657,1640,1656,NA,NA,NA,NA,NA,G00000608,283.719775728536,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,283.719763235195,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:24:11,HNYC_COLUMBIA,NA,Morse geo
376,2 AVE,2875,{00000000-0000-0000-0000-000000000000},G00002685,NY,NEW YORK,MANHATTAN,2 AVE,1,1,NA,NA,1659,1679,1660,1680,NA,NA,NA,NA,NA,G00002685,281.980519549769,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,281.980507150496,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:30:44,HNYC_COLUMBIA,NA,Morse geo
377,2 AVE,5744,{00000000-0000-0000-0000-000000000000},G00005631,NY,NEW YORK,MANHATTAN,2 AVE,1,1,NA,NA,1619,1635,1620,1638,NA,NA,NA,NA,NA,G00005631,263.787698567753,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,263.787686960146,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:40:50,HNYC_COLUMBIA,NA,Morse geo
378,E 87,4861,{00000000-0000-0000-0000-000000000000},G00004728,NY,NEW YORK,MANHATTAN,E 87,1,1,NA,NA,101,133,100,134,NA,NA,NA,NA,NA,G00004728,478.069961011593,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,478.069939965979,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:37:29,HNYC_COLUMBIA,NA,Morse geo
379,E 88,327,{00000000-0000-0000-0000-000000000000},G00000063,NY,NEW YORK,MANHATTAN,E 88,1,1,NA,NA,137,177,150,184,NA,NA,NA,NA,NA,G00000063,506.193185522963,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,506.193163231204,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:33,HNYC_COLUMBIA,NA,Morse geo
379,E 88,2737,{00000000-0000-0000-0000-000000000000},G00002544,NY,NEW YORK,MANHATTAN,E 88,1,1,NA,NA,101,129,102,124,NA,NA,NA,NA,NA,G00002544,478.831338173437,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,478.831317104584,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:30:20,HNYC_COLUMBIA,NA,Morse geo
380,E 90,1643,{00000000-0000-0000-0000-000000000000},G00001417,NY,NEW YORK,MANHATTAN,E 90,1,1,NA,NA,101,131,102,130,NA,NA,NA,NA,NA,G00001417,478.82869148411,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,478.828670399426,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:26:58,HNYC_COLUMBIA,NA,Morse geo
380,E 90,5244,{00000000-0000-0000-0000-000000000000},G00005121,NY,NEW YORK,MANHATTAN,E 90,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,G00005121,62.7507127584859,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,62.750709999074,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:39:06,HNYC_COLUMBIA,NA,Morse geo
381,E 91,642,{00000000-0000-0000-0000-000000000000},G00000385,NY,NEW YORK,MANHATTAN,E 91,1,1,NA,NA,101,135,100,128,NA,NA,NA,NA,NA,G00000385,476.866150975306,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,476.866129980231,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:23:29,HNYC_COLUMBIA,NA,Morse geo
382,E 89,4131,{00000000-0000-0000-0000-000000000000},G00003981,NY,NEW YORK,MANHATTAN,E 89,1,1,NA,NA,141,173,140,174,NA,NA,NA,NA,NA,G00003981,507.577355217365,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.577332866255,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:34:49,HNYC_COLUMBIA,NA,Morse geo
383,E 85,4127,{00000000-0000-0000-0000-000000000000},G00003977,NY,NEW YORK,MANHATTAN,E 85,1,1,NA,NA,101,131,100,132,NA,NA,NA,NA,NA,G00003977,477.073769850142,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,477.073748840668,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:34:48,HNYC_COLUMBIA,NA,Morse geo
384,E 84,4604,{00000000-0000-0000-0000-000000000000},G00004459,NY,NEW YORK,MANHATTAN,E 84,1,1,NA,NA,141,177,142,166,NA,NA,NA,NA,NA,G00004459,507.319232884673,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.319210539366,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:36:30,HNYC_COLUMBIA,NA,Morse geo
385,E 86,2581,{00000000-0000-0000-0000-000000000000},G00002381,NY,NEW YORK,MANHATTAN,E 86,1,1,NA,NA,141,177,140,166,NA,NA,NA,NA,NA,G00002381,506.906136628948,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,506.906114318347,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:29:52,HNYC_COLUMBIA,NA,Morse geo
386,E 91,642,{00000000-0000-0000-0000-000000000000},G00000385,NY,NEW YORK,MANHATTAN,E 91,1,1,NA,NA,101,135,100,128,NA,NA,NA,NA,NA,G00000385,476.866150975306,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,476.866129980231,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:23:29,HNYC_COLUMBIA,NA,Morse geo
386,E 91,788,{00000000-0000-0000-0000-000000000000},G00000539,NY,NEW YORK,MANHATTAN,E 91,1,1,NA,NA,145,177,148,174,NA,NA,NA,NA,NA,G00000539,506.732995195847,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,506.732972898223,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:23:57,HNYC_COLUMBIA,NA,Morse geo
386,E 91,2289,{00000000-0000-0000-0000-000000000000},G00002083,NY,NEW YORK,MANHATTAN,E 91,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,G00002083,69.4797933024355,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,69.4797902474589,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:29:00,HNYC_COLUMBIA,NA,Morse geo
387,E 94,4667,{00000000-0000-0000-0000-000000000000},G00004524,NY,NEW YORK,MANHATTAN,E 94,1,1,NA,NA,101,139,100,138,NA,NA,NA,NA,NA,G00004524,478.570025544254,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,478.570004468198,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:36:43,HNYC_COLUMBIA,NA,Morse geo
388,E 92,3750,{00000000-0000-0000-0000-000000000000},G00003585,NY,NEW YORK,MANHATTAN,E 92,1,1,NA,NA,145,173,142,172,NA,NA,NA,NA,NA,G00003585,507.265472220549,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.265449882472,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:33:38,HNYC_COLUMBIA,NA,Morse geo
389,E 94,529,{00000000-0000-0000-0000-000000000000},G00000269,NY,NEW YORK,MANHATTAN,E 94,1,1,NA,NA,141,181,140,180,NA,NA,NA,NA,NA,G00000269,506.814455300232,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,506.814433002667,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:23:09,HNYC_COLUMBIA,NA,Morse geo
390,E 96,4714,{00000000-0000-0000-0000-000000000000},G00004572,NY,NEW YORK,MANHATTAN,E 96,1,1,NA,NA,151,179,150,176,NA,NA,NA,NA,NA,G00004572,505.401915798831,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,505.401893554809,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:36:55,HNYC_COLUMBIA,NA,Morse geo
391,E 97,4935,{00000000-0000-0000-0000-000000000000},G00004803,NY,NEW YORK,MANHATTAN,E 97,1,1,NA,NA,101,131,102,140,NA,NA,NA,NA,NA,G00004803,470.534450942646,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,470.534430240006,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:37:45,HNYC_COLUMBIA,NA,Morse geo
392,E 98,3346,{00000000-0000-0000-0000-000000000000},G00003171,NY,NEW YORK,MANHATTAN,E 98,1,1,NA,NA,101,127,102,128,NA,NA,NA,NA,NA,G00003171,466.01668197577,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,466.01666146566,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:32:14,HNYC_COLUMBIA,NA,Morse geo
392,E 98,6958,{00000000-0000-0000-0000-000000000000},G00006871,NY,NEW YORK,MANHATTAN,NA,1,1,E,E 98,NA,NA,NA,NA,A,NA,NA,NA,NA,G00006871,88.5388073934121,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,88.5388034724896,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:44:44,HNYC_COLUMBIA,NA,Morse geo
393,E 97,6526,{00000000-0000-0000-0000-000000000000},G00006434,NY,NEW YORK,MANHATTAN,E 97,1,1,NA,NA,133,167,142,166,NA,NA,NA,NA,NA,G00006434,505.856566693146,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,505.8566999628,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:43:21,HNYC_COLUMBIA,NA,Morse geo
394,3 AVE,321,{00000000-0000-0000-0000-000000000000},G00000057,NY,NEW YORK,MANHATTAN,3 AVE,1,1,NA,NA,1770,1784,1767,1783,NA,NA,NA,NA,NA,G00000057,273.666802752039,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,273.666790696681,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:32,HNYC_COLUMBIA,NA,Morse geo
394,3 AVE,1354,{00000000-0000-0000-0000-000000000000},G00001120,NY,NEW YORK,MANHATTAN,3 AVE,1,1,NA,NA,1786,1800,1785,1799,NA,NA,NA,NA,NA,G00001120,263.78547327301,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,263.785461659641,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:25:56,HNYC_COLUMBIA,NA,Morse geo
395,E 101,3711,{00000000-0000-0000-0000-000000000000},G00003546,NY,NEW YORK,MANHATTAN,E 101,1,1,NA,NA,101,139,100,142,NA,NA,NA,NA,NA,G00003546,471.141559405172,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,471.141538660611,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:33:29,HNYC_COLUMBIA,NA,Morse geo
395,E 101,6955,{00000000-0000-0000-0000-000000000000},G00006868,NY,NEW YORK,MANHATTAN,NA,1,1,E,E 101,NA,NA,NA,NA,A,NA,NA,NA,NA,G00006868,78.3056374418998,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,78.305633987112,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:44:44,HNYC_COLUMBIA,NA,Morse geo
396,E 101,5551,{00000000-0000-0000-0000-000000000000},G00005436,NY,NEW YORK,MANHATTAN,E 101,1,1,NA,NA,163,197,170,198,NA,NA,NA,NA,NA,G00005436,506.882511145295,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,506.882488828865,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:40:11,HNYC_COLUMBIA,NA,Morse geo
397,E 102,2515,{00000000-0000-0000-0000-000000000000},G00002314,NY,NEW YORK,MANHATTAN,E 102,1,1,NA,NA,155,183,152,186,NA,NA,NA,NA,NA,G00002314,507.041544239263,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.041521915928,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:29:41,HNYC_COLUMBIA,NA,Morse geo
398,E 102,295,{00000000-0000-0000-0000-000000000000},G00000030,NY,NEW YORK,MANHATTAN,E 102,1,1,NA,NA,101,131,100,128,NA,NA,NA,NA,NA,G00000030,471.548333190916,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,471.548312439114,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:27,HNYC_COLUMBIA,NA,Morse geo
399,E 103,1699,{00000000-0000-0000-0000-000000000000},G00001473,NY,NEW YORK,MANHATTAN,E 103,1,1,NA,NA,101,147,102,144,NA,NA,NA,NA,NA,G00001473,471.528394363433,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,471.528373605846,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:27:10,HNYC_COLUMBIA,NA,Morse geo
399,E 103,5317,{00000000-0000-0000-0000-000000000000},G00005196,NY,NEW YORK,MANHATTAN,E 103,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,G00005196,81.1009490704922,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,81.1009455015844,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:39:26,HNYC_COLUMBIA,NA,Morse geo
400,E 103,377,{00000000-0000-0000-0000-000000000000},G00000113,NY,NEW YORK,MANHATTAN,E 103,1,1,NA,NA,149,173,148,176,NA,NA,NA,NA,NA,G00000113,507.701853079443,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.701830728795,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:42,HNYC_COLUMBIA,NA,Morse geo
401,E 104,2722,{00000000-0000-0000-0000-000000000000},G00002528,NY,NEW YORK,MANHATTAN,E 104,1,1,NA,NA,153,187,158,190,NA,NA,NA,NA,NA,G00002528,507.765954636347,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.765932275149,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:30:17,HNYC_COLUMBIA,NA,Morse geo
402,E 105,1253,{00000000-0000-0000-0000-000000000000},G00001017,NY,NEW YORK,MANHATTAN,E 105,1,1,NA,NA,153,179,150,180,NA,NA,NA,NA,NA,G00001017,507.691900738743,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.691878382242,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:25:34,HNYC_COLUMBIA,NA,Morse geo
403,E 106,4813,{00000000-0000-0000-0000-000000000000},G00004676,NY,NEW YORK,MANHATTAN,E 106,1,1,NA,NA,101,133,100,136,NA,NA,NA,NA,NA,G00004676,467.787926009694,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,467.787905418548,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:37:19,HNYC_COLUMBIA,NA,Morse geo
403,E 106,5133,{00000000-0000-0000-0000-000000000000},G00005007,NY,NEW YORK,MANHATTAN,E 106,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,G00005007,83.6591763986507,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,83.6591727105235,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:38:38,HNYC_COLUMBIA,NA,Morse geo
404,E 106,6192,{00000000-0000-0000-0000-000000000000},G00006093,NY,NEW YORK,MANHATTAN,E 106,1,1,NA,NA,151,171,150,178,NA,NA,NA,NA,NA,G00006093,507.618305249596,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.618282898486,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:42:18,HNYC_COLUMBIA,NA,Morse geo
405,E 107,354,{00000000-0000-0000-0000-000000000000},G00000090,NY,NEW YORK,MANHATTAN,E 107,1,1,NA,NA,151,183,150,174,NA,NA,NA,NA,NA,G00000090,507.329272017669,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.329249692621,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:38,HNYC_COLUMBIA,NA,Morse geo
406,E 108,1160,{00000000-0000-0000-0000-000000000000},G00000924,NY,NEW YORK,MANHATTAN,E 108,1,1,NA,NA,101,129,100,132,NA,NA,NA,NA,NA,G00000924,470.726110898837,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,470.726090177301,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:25:13,HNYC_COLUMBIA,NA,Morse geo
406,E 108,2198,{00000000-0000-0000-0000-000000000000},G00001987,NY,NEW YORK,MANHATTAN,E 108,1,1,NA,NA,151,185,150,186,NA,NA,NA,NA,NA,G00001987,507.459273882128,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.459251535354,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:28:38,HNYC_COLUMBIA,NA,Morse geo
406,E 108,4697,{00000000-0000-0000-0000-000000000000},G00004554,NY,NEW YORK,MANHATTAN,E 108,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,G00004554,80.6440555154253,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,80.6440519607435,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:36:51,HNYC_COLUMBIA,NA,Morse geo
407,E 109,1195,{00000000-0000-0000-0000-000000000000},G00000959,NY,NEW YORK,MANHATTAN,E 109,1,1,NA,NA,153,189,154,192,NA,NA,NA,NA,NA,G00000959,507.881127677317,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.881105333658,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:25:21,HNYC_COLUMBIA,NA,Morse geo
408,E 109,1043,{00000000-0000-0000-0000-000000000000},G00000801,NY,NEW YORK,MANHATTAN,E 109,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,G00000801,83.8864558013922,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,83.8864521004895,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:24:48,HNYC_COLUMBIA,NA,Morse geo
408,E 109,5686,{00000000-0000-0000-0000-000000000000},G00005572,NY,NEW YORK,MANHATTAN,E 109,1,1,NA,NA,101,139,100,136,NA,NA,NA,NA,NA,G00005572,468.489681209115,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,468.489660590464,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:40:39,HNYC_COLUMBIA,NA,Morse geo
409,E 110,1239,{00000000-0000-0000-0000-000000000000},G00001003,NY,NEW YORK,MANHATTAN,E 110,1,1,NA,NA,101,141,100,138,NA,NA,NA,NA,NA,G00001003,470.832783412978,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,470.832762687215,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:25:31,HNYC_COLUMBIA,NA,Morse geo
409,E 110,2341,{00000000-0000-0000-0000-000000000000},G00002136,NY,NEW YORK,MANHATTAN,E 110,1,1,NA,NA,151,179,152,178,NA,NA,NA,NA,NA,G00002136,506.223407598973,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,506.223385326024,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:29:10,HNYC_COLUMBIA,NA,Morse geo
410,E 110,1239,{00000000-0000-0000-0000-000000000000},G00001003,NY,NEW YORK,MANHATTAN,E 110,1,1,NA,NA,101,141,100,138,NA,NA,NA,NA,NA,G00001003,470.832783412978,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,470.832762687215,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:25:31,HNYC_COLUMBIA,NA,Morse geo
410,E 110,2203,{00000000-0000-0000-0000-000000000000},G00001993,NY,NEW YORK,MANHATTAN,E 110,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,G00001993,82.0098373848932,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,82.009833775582507,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:28:39,HNYC_COLUMBIA,NA,Morse geo
410,E 110,2341,{00000000-0000-0000-0000-000000000000},G00002136,NY,NEW YORK,MANHATTAN,E 110,1,1,NA,NA,151,179,152,178,NA,NA,NA,NA,NA,G00002136,506.223407598973,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,506.223385326024,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:29:10,HNYC_COLUMBIA,NA,Morse geo
411,E 112,1986,{00000000-0000-0000-0000-000000000000},G00001772,NY,NEW YORK,MANHATTAN,E 112,1,1,NA,NA,147,185,150,184,NA,NA,NA,NA,NA,G00001772,507.055137207544,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.055114894985,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:27:59,HNYC_COLUMBIA,NA,Morse geo
411,E 112,3875,{00000000-0000-0000-0000-000000000000},G00003715,NY,NEW YORK,MANHATTAN,E 112,1,1,NA,NA,101,135,100,146,NA,NA,NA,NA,NA,G00003715,469.257874892422,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,469.257854222839,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:34:00,HNYC_COLUMBIA,NA,Morse geo
411,E 112,4636,{00000000-0000-0000-0000-000000000000},G00004491,NY,NEW YORK,MANHATTAN,E 112,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,G00004491,85.0012796460644,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,85.0012759161895,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:36:36,HNYC_COLUMBIA,NA,Morse geo
412,E 113,7195,{00000000-0000-0000-0000-000000000000},G00007109,NY,NEW YORK,MANHATTAN,E 113,1,1,NA,NA,101,141,100,140,NA,NA,NA,NA,NA,G00007109,469.209184624374,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,469.209163962089,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:45:35,HNYC_COLUMBIA,NA,Morse geo
413,E 113,1315,{00000000-0000-0000-0000-000000000000},G00001079,NY,NEW YORK,MANHATTAN,E 113,1,1,NA,NA,145,179,144,182,NA,NA,NA,NA,NA,G00001079,507.632032407753,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,507.632010063594,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:25:49,HNYC_COLUMBIA,NA,Morse geo
414,E 115,1183,{00000000-0000-0000-0000-000000000000},G00000947,NY,NEW YORK,MANHATTAN,E 115,1,1,NA,NA,151,191,154,190,NA,NA,NA,NA,NA,G00000947,508.564144073954,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,508.564121698105,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:25:18,HNYC_COLUMBIA,NA,Morse geo
414,E 115,1608,{00000000-0000-0000-0000-000000000000},G00001380,NY,NEW YORK,MANHATTAN,E 115,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,G00001380,83.3637974448423,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,83.3637937843865,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:26:49,HNYC_COLUMBIA,NA,Morse geo
414,E 115,2360,{00000000-0000-0000-0000-000000000000},G00002155,NY,NEW YORK,MANHATTAN,E 115,1,1,NA,NA,101,137,100,150,NA,NA,NA,NA,NA,G00002155,469.329979868249,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,469.329959203971,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:29:13,HNYC_COLUMBIA,NA,Morse geo
415,E 116,1494,{00000000-0000-0000-0000-000000000000},G00001263,NY,NEW YORK,MANHATTAN,E 116,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,G00001263,86.4585178640839,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,86.4585140416505,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:26:27,HNYC_COLUMBIA,NA,Morse geo
