ED,Street1,Street2,Street3,Street4,Street5,Street6,Street7,Street8,Street9,Street10,Street11,Street12,Street13,Street14,Street15,Street16,Street17,Street18,Street19,Street20,Street21,Street22,Street23,Street24,Street25,Street26,Street27,Street28,Street29,Street30,Street31,Street32,Street33,Street34,Street35,Street36,Street37
13,BARCLAY,BISHOP LN,CHAMBERS,CORTLANDT,DEY,FULTON,GREENWICH,HUDSON,LIBERTY,MURRAY,N RIVER,PARK PL,READE,VESEY,W,W BROADWAY,WARREN,WASHINGTON,WASHINGTON MARKET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,CLIFF,DUANE,FERRY,FRANKFORT,GOLD,JACOB,N WILLIAM,NASSAU,NEW CHAMBERS,PARK ROW,PEARL,ROSE,SPRUCE,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,CHAMBERS,CHESTNUT,CLIFF,FRANKFORT,HAGUE,MADISON,NEW BOWERY,NEW CHAMBERS,OAK,PEARL,ROOSEVELT,ROSE,VANDEWATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,BATAVIA,CHAMBERS,CHERRY,JAMES SLIP,NEW CHAMBERS,OAK,ROOSEVELT,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,CHAMBERS,CHERRY,DOVER,DOVERS,FRANKLIN SQ,OAK,PEARL,ROOSEVELT,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,DOVER,DOVERS,E RIVER,FERRY,FRONT,JAMES,JAMES SLIP,PEARL,PECK SLIP,PIER 21,PIERS,ROOSEVELT,S,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,BATAVIA,CHAMBERS,CHERRY,CHESTNUT,DUANE,JAMES,MADISON,NEW BOWERY,NEW CHAMBERS,OAK,PARK ROW,PEARL,ROOSEVELT,ROSE,WILLIAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,MADISON,NEW CHAMBERS,PARK ROW,PEARL,ROOSEVELT,ROSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,JAMES,MADISON,NEW BOWERY,PARK ROW,ROOSEVELT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,CHATHAM SQ,JAMES,MADISON,NEW BOWERY,OLIVER,PARK ROW,ROSE,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,CATHERINE,HENRY,MADISON,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,JAMES,MADISON,OAK,OLIVER,ROSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,CHAMBERS,JAMES,MADISON,NEW BOWERY,OAK,ROOSEVELT,ROSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,CATHERINE,CHERRY,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,CHERRY,JAMES,OAK,OLIVER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,CATHERINE,CATHERINE SLIP,CHERRY,HENRY,JAMES SLIP,MADISON,MARKET,OLIVER,S,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,CATHERINE,CATHERINE SLIP,CHERRY,E RIVER,JAMES,JAMES SLIP,NEW CHAMBERS,OLIVER,PIER,PIER 22,PIER 25,S,WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,BROADWAY,CANAL,CHURCH,DUANE,FRANKLIN,FRANKLIN PL,LEONARD,LISPENARD,MAIN,READE,THOMAS,TRIMBLE PL,W BROADWAY,WALKER,WHITE,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,BEACH,BROADWAY,FRANKLIN,GREENWICH,HUDSON,N MOORE,VARICK,W BROADWAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,BEACH,CAROLINE,DUANE,FRANKLIN,GREENWICH,HARRISON,JAY,N MOORE,N RIVER,READE,W,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,DUANE,FRANKLIN,GREENWICH,HARRISON,HUDSON,JAY,LEONARD,READE,STAPLE,THOMAS,W BROADWAY,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,CANAL,CANAL PARK,DESBROSSES,GREENWICH,HUDSON,N RIVER,VESTRY,W,WASHINGTON,WATTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,AVE A,BEACH,CANAL,ERICSSON PL,GREENWICH,HUDSON,JOHNS LN,LAIGHT,SAINT JOHNS LN,VARICK,VESTRY,W BROADWAY,YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,BEACH,COLLISTER,GREENWICH,HUBERT,HUDSON,LAIGHT,N RIVER,VESTRY,W,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,BROADWAY,CARDINAL,CENTRE,CHAMBERS,CITY HALL PARK,CITY HALL PL,CITY HALL SQ,DUANE,ELM,LAFAYETTE,MAIL,MANHATTAN ALY,MANHATTAN PL,OTTENDONFER SQ,PARK,PARK ROW,PEARL,READE,REPUBLICAN ALY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,BENSON,BENSON PL,BROADWAY,CANAL,CATHERINE LN,CENTRE,CORTLANDT ALY,ELM,FRANKLIN,LAFAYETTE,LEONARD,MAIN,PEARL,WALKER,WHITE,WORTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
